"asset","mean","sd"
"^GSPC",0.0135790259135458,0.0448016834692022
"NVDA",0.0491015987080036,0.127402071240776
"AAPL",0.0350281688120704,0.0857291616499105
"MSFT",0.0309429277675948,0.0528005345380086
"AVGO",0.0263579808826967,0.0737194156525251
"AMD",0.0577966073553838,0.161015073992019
"NOW",0.0365505091780073,0.0749718670133431
"GOOG",0.0241446271174941,0.064922122786524
"META",0.0193777761622778,0.0821702409352835
"NFLX",0.0292146931064566,0.0963343820975352
"VZ",0.00552975948842969,0.0435680088921564
"DIS",0.00959560972882769,0.0814283171696973
"T",-0.00106667875572471,0.0536706806077308
"V",0.0188812985111258,0.0617190293255929
"JPM",0.015352264131757,0.0698831632437452
"MS",0.0198645389533046,0.0846945094657987
"GS",0.0138109116187992,0.0854851426799076
"BAC",0.0166575173606904,0.0822432724296786
"SCHW",0.0163487420123047,0.0811866221780091
"AMZN",0.0270615216314622,0.0804393311948152
"TSLA",0.0691880633121911,0.197320231616106
"MCD",0.0166730377775414,0.0499137193640188
"SBUX",0.0166609113719785,0.0669444709647307
"HD",0.0228165686362138,0.0629235227725246
"EBAY",0.0167876421437205,0.0869547487421355
"LLY",0.0262076360019535,0.0719378590080628
"NVO",0.0228952647627826,0.0557555468428463
"UNH",0.0227225686520386,0.0658912886225908
"JNJ",0.0105014870588776,0.0501231676397289
"AMGN",0.0107747360014382,0.066863164563551
"PFE",0.0170377569694091,0.0700483977733532
