a	b	c
-1.692983795	-1.896542253	4.589526048
-1.421521653	-1.985198523	4.406720176
-1.676046022	-1.842524491	4.518570513
-1.990539262	-1.609668264	4.600207526
-1.799035615	-1.678792688	4.477828303
-1.309518723	-1.908749657	4.21826838
-1.835352641	-1.635456404	4.470809046
-1.79155858	-1.614551225	4.406109806
-1.092074343	-1.927365947	4.019440291
-1.156163213	-1.88677633	4.042939543
-1.458296457	-1.732200079	4.190496536
-0.919644765	-1.96826075	3.887905515
-1.025543992	-1.906613361	3.932157353
-1.548631245	-1.628437147	4.177068392
-1.131748405	-1.794763024	3.926511429
-1.667348247	-1.51536607	4.182714316
-1.152958769	-1.763939329	3.916898099
-1.152500992	-1.757225257	3.909726249
-1.320505387	-1.67055269	3.991058077
-1.723807489	-1.457533494	4.181340983
-0.657643361	-1.990539262	3.648182623
-0.909421064	-1.857325968	3.766747032
-1.799493393	-1.385814997	4.18530839
-1.028901028	-1.727622303	3.756523331
-1.438764611	-1.50819422	3.946958831
-0.73485519	-1.841151158	3.576006348
-0.482772301	-1.93408002	3.416852321
-0.880733665	-1.704428236	3.585161901
-1.120761742	-1.574571978	3.69533372
-1.65376751	-1.302957244	3.956724754
-0.97869808	-1.639118625	3.617816706
-0.549455245	-1.831385235	3.38084048
-0.677785577	-1.729148228	3.406933805
-1.611651967	-1.250618	3.862269967
-1.108554338	-1.496444594	3.604998932
-1.488662374	-1.303109836	3.79177221
-1.615619373	-1.236579485	3.852198859
-0.186437574	-1.950407422	3.136844996
-0.187047945	-1.943998535	3.13104648
-1.079256569	-1.479506821	3.55876339
-0.085116123	-1.968108158	3.053224281
-0.560899686	-1.695577868	3.256477554
-0.124790185	-1.908444472	3.033234657
-1.182256539	-1.37162389	3.553880428
-0.741264077	-1.574266793	3.315530869
-1.203619495	-1.33927427	3.542893765
-0.613238929	-1.611957152	3.225196081
-0.507339702	-1.661244545	3.168584246
-0.829462569	-1.499954222	3.329416791
-0.385570849	-1.701528977	3.087099826
-0.892178106	-1.441969054	3.33414716
-0.869136631	-1.445173498	3.314310129
-0.393353069	-1.670400098	3.063753166
-0.905148473	-1.394054994	3.299203467
-0.032166509	-1.828180792	2.860347301
-1.466994232	-1.104281747	3.571275979
-1.348429823	-1.162724693	3.511154515
-1.215063936	-1.201330607	3.416394543
-0.025757622	-1.738761559	2.764519181
-0.985106967	-1.25840022	3.243507187
-1.566484573	-0.964506973	3.530991546
-0.975493637	-1.244361705	3.219855342
-1.242988372	-1.081392865	3.324381237
-1.396496475	-1.003265481	3.399761956
0.044740135	-1.697714164	2.652974029
-0.021637623	-1.66277047	2.684408094
-1.842524491	-0.736381115	3.578905606
0.215643788	-1.756462294	2.540818506
-1.925229652	-0.673970763	3.599200415
0.346568194	-1.804681539	2.458113346
-0.486434523	-1.377574999	2.864009522
-0.809015168	-1.214453566	3.023468734
0.096774194	-1.65437788	2.557603687
-0.058107242	-1.575640126	2.633747368
0.757347331	-1.979247414	2.221900082
-1.503616443	-0.848384045	3.352000488
-1.202551347	-0.990905484	3.193456832
-1.216132084	-0.982970672	3.199102756
-1.998016297	-0.587145604	3.585161901
-0.04239021	-1.55610828	2.598498489
0.024292734	-1.587542344	2.563249611
0.089907529	-1.617603076	2.527695547
0.041230506	-1.59028901	2.549058504
-1.64476455	-0.741264077	3.386028626
-1.369487594	-0.870967742	3.240455336
0.044282357	-1.569078646	2.524796289
0.863856929	-1.97665334	2.112796411
-1.195989868	-0.936582537	3.132572405
-0.883632923	-1.083071383	2.966704306
-1.73342082	-0.633228553	3.366649373
0.95373394	-1.962462233	2.008728294
0.537614063	-1.746543779	2.208929716
-0.603625599	-1.170812098	2.774437696
-0.620715964	-1.145023957	2.765739921
-0.525650807	-1.190496536	2.716147343
-0.96786401	-0.960722678	2.928586688
-0.478652303	-1.201788385	2.680440687
1.062685018	-1.965819269	1.903134251
1.111972411	-1.981536302	1.86956389
-0.014923551	-1.409466842	2.424390393
-0.904690695	-0.963896603	2.868587298
-0.834925382	-0.998718223	2.833643605
-0.229163488	-1.293343913	2.522507401
-0.835749382	-0.988097781	2.823847163
-0.20474868	-1.302804651	2.507553331
-1.378948332	-0.711813715	3.090762047
-0.402661214	-1.195989868	2.598651082
-0.85625782	-0.9610889	2.817346721
-0.507644887	-1.135105441	2.642750328
1.192541276	-1.980773339	1.788232063
0.867366558	-1.804986724	1.937620167
-0.218482009	-1.253517258	2.471999268
1.010193182	-1.852900784	1.842707602
-0.102206488	-1.294259468	2.396465957
-0.750572222	-0.969847713	2.720419935
1.167516099	-1.928434095	1.760917997
1.126773888	-1.880367443	1.753593554
0.291787469	-1.460585345	2.168797876
-0.994689779	-0.814233833	2.808923612
-0.807184057	-0.904843287	2.712027345
-0.651997436	-0.973052156	2.625049593
1.318887906	-1.949644459	1.630756554
-0.860377819	-0.853419599	2.713797418
-0.956968902	-0.787316507	2.744285409
-0.75490585	-0.887020478	2.641926328
0.061525315	-1.290292062	2.228766747
-0.352916044	-1.082461013	2.435377056
-0.211004975	-1.144413587	2.355418561
-0.534043397	-0.977629933	2.51167333
-0.638355663	-0.925199133	2.563554796
-0.48792993	-0.983336894	2.471266823
-1.895474105	-0.277993103	3.173467208
-1.216437269	-0.614307077	2.830744346
1.139591662	-1.787285989	1.647694327
-0.673665578	-0.877376629	2.551042207
1.480178228	-1.946897794	1.466719565
-0.457258827	-0.976744896	2.434003723
1.114719077	-1.754325999	1.639606922
1.10647908	-1.737235633	1.630756554
-1.704733421	-0.331400494	3.036133915
-0.820093387	-0.768913846	2.589007233
-0.7002472	-0.824671163	2.524918363
-0.1633961	-1.08948027	2.25287637
-0.907712027	-0.715536973	2.623249001
-0.738364818	-0.797723319	2.536088137
0.518997772	-1.419232765	1.900234993
1.275551622	-1.794457839	1.518906217
-0.448286386	-0.924527726	2.372814112
-0.595995972	-0.847621082	2.443617054
-0.85525071	-0.713492233	2.568742943
-0.507034516	-0.886684774	2.393719291
-1.566026795	-0.35627308	2.922299875
-0.30835902	-0.983733634	2.292092654
-1.818109684	-0.217413862	3.035523545
-1.651326029	-0.299813837	2.951139866
-0.699148534	-0.770928068	2.470076601
0.228308969	-1.223456526	1.995147557
0.525711844	-1.369792779	1.844080935
-0.60789819	-0.796807764	2.404705954
-0.044679098	-1.071474349	2.116153447
0.261574145	-1.223761711	1.962187567
-0.983977783	-0.593493454	2.577471236
-1.301126133	-0.433942686	2.735068819
-0.316080203	-0.925199133	2.241279336
-0.198797571	-0.977172155	2.175969726
-0.750877407	-0.700369274	2.451246681
-0.455885495	-0.842158269	2.298043764
1.826410718	-1.976348155	1.149937437
-0.804895169	-0.658406323	2.463301492
-0.813959166	-0.642750328	2.456709494
1.54915006	-1.823603015	1.274452956
-0.331644642	-0.874202704	2.205847346
1.360393078	-1.713736381	1.353343303
-0.164922025	-0.928037355	2.09295938
-0.150639363	-0.934995575	2.085634938
-0.061922056	-0.978392895	2.040314951
-0.313333537	-0.8501236	2.163457137
0.323984497	-1.164860988	1.840876492
0.445448164	-1.218420972	1.772972808
-0.53215125	-0.722220527	2.254371776
-0.852687155	-0.552293466	2.404980621
0.291482284	-1.122745445	1.831263161
-0.229194006	-0.861659597	2.090853603
-0.538468581	-0.699606311	2.238074892
-0.604113895	-0.666096988	2.270210883
-0.949095126	-0.493606372	2.442701498
1.282876064	-1.606921598	1.324045534
-0.68733787	-0.62141789	2.30875576
0.782525101	-1.353465377	1.570940275
1.804132206	-1.863124485	1.058992279
1.491622669	-1.70290231	1.211279641
-0.010345775	-0.946501053	1.956846828
-0.847560045	-0.524643696	2.372203742
1.878292184	-1.881588183	1.003295999
-0.94369335	-0.470351268	2.414044618
0.040437025	-0.957060457	1.916623432
-1.811853389	-0.029572436	2.841425825
-0.232520524	-0.814813684	2.047334208
-0.166753136	-0.845362712	2.012115848
-0.671864986	-0.584429456	2.256294443
-0.330088198	-0.753807184	2.083895383
-0.50798059	-0.661610767	2.169591357
-0.137363811	-0.84664449	1.984008301
-0.574480422	-0.627277444	2.201757866
1.072756127	-1.449598682	1.376842555
-1.346751305	-0.238471633	2.585222938
-0.757560961	-0.531235694	2.288796655
