"","^GSPC","NVDA","AAPL","MSFT","AVGO","AMD","NOW","GOOG","META","NFLX","VZ","DIS","T","V","JPM","MS","GS","BAC","SCHW","AMZN","TSLA","MCD","SBUX","HD","EBAY","LLY","NVO","UNH","JNJ","AMGN","PFE"
"^GSPC",0.00200719084167458,0.00263297979689077,0.00241237600157509,0.00173113033133001,0.00192626227473756,0.003761581290056,0.00200741158248559,0.0021228964070629,0.00257489038933961,0.00163301976328603,0.000887584493168987,0.00238268417552391,0.00147434950992315,0.00194543854804718,0.00227831745578387,0.00308721416459875,0.00300741690067299,0.00297605081489089,0.00209714665971283,0.00219959142447883,0.00397001833446649,0.00120077323853632,0.00165292378756323,0.00197204990665122,0.00224240814708767,0.000729189255894103,0.000881265977185074,0.0017286504551051,0.0014827988604407,0.00128330671691779,0.00140042264926046
"NVDA",0.00263297979689077,0.0162312877564397,0.00616616935181131,0.00369857056302431,0.00319487826509526,0.00778424089277976,0.00409265852466919,0.0034163321354506,0.00441759272704593,0.00605832180439431,0.000229112079198851,0.000224249189889259,0.000107955668633945,0.00209726236340632,0.00126537579698418,0.00305172782917571,0.00316359640905684,0.00254897226196552,0.00143243162091247,0.00531595286769993,0.00742002444903916,0.000102966761057643,0.000625811005272761,0.00272671743115978,0.00379474267407806,-0.000342258866523953,0.00246174052933311,0.0013670094574713,0.000960356774927575,0.000464190186802109,0.00106293562570392
"AAPL",0.00241237600157509,0.00616616935181131,0.00734948915719648,0.00274809211537259,0.00304808575010044,0.00601317309416047,0.00290976927296025,0.0023896838298102,0.00401548696302432,0.00223418006061897,0.000661808077962011,0.00221328984950357,0.00117876261214169,0.0024771713912323,0.00162003376425349,0.0032100301284314,0.00332780265301454,0.00239047242052852,0.00089283743589626,0.0037528272798724,0.00856351790588043,0.00122143180299947,0.00163792371808825,0.00193148519080597,0.0023060964403572,0.000938682221345711,0.000829179699997318,0.00155097183592043,0.00190204566546333,0.00155848373518482,0.00164919239710772
"MSFT",0.00173113033133001,0.00369857056302431,0.00274809211537259,0.00278789644749944,0.0016850538885922,0.00334159428982037,0.00255416459507421,0.00220500411403671,0.00210191192711951,0.0023886863025244,0.000507648144805072,0.00176343169028241,0.000667861446139576,0.00168713242624837,0.00144325648805765,0.00244104432332142,0.00214181315284117,0.0020557551749972,0.00110228380075315,0.00296118170229639,0.00481853466185449,0.000930072418470547,0.000950743241750392,0.00164880531756481,0.00221252679126099,0.0012115375337491,0.00135146473065774,0.00140986093738738,0.00128183294507375,0.000965841543780932,0.000588416105148512
"AVGO",0.00192626227473756,0.00319487826509526,0.00304808575010044,0.0016850538885922,0.00543455224414976,0.00231374478181503,0.00172284012221727,0.00145624106889262,0.00250955112350824,0.00150355968957944,0.000441574343084634,0.00270665327438961,0.00116525944362861,0.00205719715216365,0.00171343198877913,0.0031276577832633,0.00254475661333285,0.00240864378859555,0.00198448373394184,0.00162730297600287,0.00385700619151326,0.00121869563065791,0.00225680089543755,0.00176187841525686,0.00224305016394483,0.00104792979077604,0.00115407052561399,0.00160874310519124,0.00161638101297821,0.00170635533926671,0.000908315508455055
"AMD",0.003761581290056,0.00778424089277976,0.00601317309416047,0.00334159428982037,0.00231374478181503,0.0259258540526555,0.00393659854715132,0.00354840004634329,0.00545747268827944,0.00645217560749829,0.00128331229192109,0.00292870348221351,0.00166714213471728,0.00324622918436865,0.00323306219699756,0.00340489981622862,0.00327285809785832,0.00414090291516518,0.00128497629082296,0.0072939733917102,0.00617785264636467,0.000489856998005276,0.00201260650598604,0.00387772661274625,0.00330228087192822,0.00225057504592319,0.00113495806203193,0.0035983344799028,0.00226876118819217,0.00441384815183694,0.0058122562207049
"NOW",0.00200741158248559,0.00409265852466919,0.00290976927296025,0.00255416459507421,0.00172284012221727,0.00393659854715132,0.00562078084346641,0.00269569744392892,0.00337265959120943,0.00424751073590604,0.000164207384735928,0.00234387310719023,0.000813010235729473,0.00211564021780613,0.00152852697060167,0.00292649607789817,0.00301561852979267,0.00237944465758868,0.00212062023385124,0.00368753477996417,0.00565375432256952,0.00121615311759018,0.00150388235323014,0.00151023481062927,0.00382247697499585,0.000506557921273047,0.00118656333418088,0.00117282902888303,0.00106112967288508,0.00013414367880451,0.00037030020351108
"GOOG",0.0021228964070629,0.0034163321354506,0.0023896838298102,0.00220500411403671,0.00145624106889262,0.00354840004634329,0.00269569744392892,0.0042148820271085,0.00299414230715624,0.00185699771110831,0.00057514305007677,0.00230965938640617,0.00125806690175292,0.00205579715481461,0.00233724310756752,0.00342884183708419,0.00322627178793563,0.00303380915217578,0.00256472268192739,0.00278721717652789,0.00476775665161248,0.00114473579175939,0.0018202697732883,0.00203905333496367,0.00213174038915774,0.000562129152668808,0.00132614382093668,0.0017901564508675,0.00108611469720904,0.000344815039522111,0.000935511013107381
"META",0.00257489038933961,0.00441759272704593,0.00401548696302432,0.00210191192711951,0.00250955112350824,0.00545747268827944,0.00337265959120943,0.00299414230715624,0.00675194849536254,0.00385156821851574,0.000851532402496163,0.00289463416301737,0.0016770692140481,0.0025755441768744,0.00231324258433759,0.00375025225738668,0.00367017151361651,0.00341839294059988,0.00245497110646848,0.00390063852120224,0.00499278562706354,0.00153189519980735,0.00166883872454764,0.00278816135577718,0.00375293269097459,-0.000755974950010246,0.000310277337276736,0.00246440025965489,0.00140393175546081,0.0012924273562554,0.00144357281964565
"NFLX",0.00163301976328603,0.00605832180439431,0.00223418006061897,0.0023886863025244,0.00150355968957944,0.00645217560749829,0.00424751073590604,0.00185699771110831,0.00385156821851574,0.00928031317411392,0.000170339359997348,0.00132533256299788,0.000225914134368352,0.00172720295346574,0.00102631993208941,0.00189158818584735,0.00201463397121552,0.0021490071675475,0.00129384569288278,0.00491729569682966,0.00456628406975361,-0.000407017345614483,-0.000792194629002505,0.00114031026648727,0.00352101839795463,-0.000295338966263013,0.000472374082135381,0.00145104249098058,0.00039786503003639,0.000507372248163692,-0.000375288437320991
