"","Date","^GSPC","NVDA","AAPL","MSFT","AVGO","AMD","NOW","GOOG","META","NFLX","VZ","DIS","T","V","JPM","MS","GS","BAC","SCHW","AMZN","TSLA","MCD","SBUX","HD","EBAY","LLY","NVO","UNH","JNJ","AMGN","PFE"
1,"2017-01-01",2278.87,2.69,27.92,57.9,15.43,10.37,18.12,39.49,129.19,14.07,29.25,102.74,16.36,77.38,65.91,32.41,187.97,18.27,36.47,41.17,16.8,97.83,44.98,109.18,28.16,66.4,14.5,138.63,87.31,117.75,19.3
2,"2017-02-01",2363.64,2.5,31.65,57.65,16.31,14.46,17.38,40.8,134.36,14.21,29.62,102.22,16.21,82.43,70.57,34.84,203.86,19.92,35.8,42.25,16.67,102.63,46.53,114.99,29.99,71.86,14.16,141.43,94.84,133.58,20.97
3,"2017-03-01",2362.72,2.68,33.19,59.35,17.01,14.55,17.49,41.12,140.81,14.78,29.1,105.28,16.12,83.3,68.41,32.68,188.79,19.09,36.16,44.33,18.55,104.21,47.77,117.23,29.69,72.99,14.02,140.78,96.66,124.15,21.02
4,"2017-04-01",2384.2,2.57,33.19,61.69,17.15,13.3,18.9,44.9,148.94,15.22,27.73,107.33,15.62,85.5,68.14,33.23,183.93,18.89,34.42,46.25,20.94,112.51,49.14,124.63,29.55,71.21,15.82,150.11,95.82,123.58,20.85
5,"2017-05-01",2411.8,3.56,35.44,63.29,18.6,11.19,20.93,47.82,150.14,16.31,28.17,100.22,15.19,89.42,64.35,31.98,174.2,18.2,34.4,49.73,22.73,121.32,52.26,123.27,30.34,69.49,17.33,150.37,100.19,118.32,20.26
6,"2017-06-01",2423.41,3.56,33.41,62.47,18.18,12.48,21.2,45.04,149.67,14.94,26.97,98.65,14.87,88.06,71.59,34.14,182.98,19.7,38.14,48.4,24.11,123.92,47.9,123.18,30.89,71.88,17.54,159.82,103.35,131.27,20.84
7,"2017-07-01",2470.3,4.01,34.51,65.88,19.24,13.61,22.09,46.12,167.78,18.17,29.62,102.83,15.64,93.49,72.3,36.13,185.81,19.59,38.09,49.39,21.56,125.52,44.35,120.13,31.6,72.19,17.34,165.33,103.68,133.01,20.58
8,"2017-08-01",2471.65,4.18,38.2,68.12,19.66,13,23.24,46.56,170.47,17.47,29.35,94.66,15.02,97.36,71.58,35.05,185.12,19.5,35.49,49.03,23.73,130.2,45.27,121.06,31.96,71.45,19.67,171.44,104.07,136.4,21.25
9,"2017-09-01",2519.36,4.41,35.9,67.87,19,12.75,23.51,47.54,169.38,18.14,30.28,92.2,15.71,98.98,75.22,37.11,196.25,20.68,38.9,48.07,22.74,127.52,44.32,132.11,34.02,75.18,19.89,169.45,102.21,143.07,22.37
10,"2017-10-01",2575.26,5.1,39.37,75.78,20.67,10.99,25.27,50.39,178.49,19.64,29.64,91.49,13.72,103.44,79.7,38.7,200.63,22.36,39.88,55.26,22.1,135.84,45.26,133.91,33.29,72.02,20.57,181.88,109.6,134.45,21.97
11,"2017-11-01",2647.58,4.96,40.17,77.07,21.77,10.89,24.6,50.62,175.64,18.76,31.51,98.05,14.83,106.08,82.8,39.95,205.54,23.09,43.47,58.84,20.59,140.8,47.97,145.98,30.67,74.86,21.39,198.08,110.21,135.71,22.93
12,"2017-12-01",2673.61,4.78,39.56,78.32,20.26,10.28,26.08,51.86,174.92,19.2,32.78,101.37,15.85,107.43,84.72,40.62,211.45,24.2,45.77,58.47,20.76,140.92,47.64,153.87,33.38,74.7,22.17,191.39,110.52,134.35,22.9
13,"2018-01-01",2823.81,6.07,39.14,87,19.56,13.74,29.77,57.99,185.26,27.03,33.86,102.47,15.54,117.05,92.11,43.97,222.35,26.23,47.53,72.54,23.62,140.12,47.13,163.1,35.89,72.04,22.93,205.55,109.31,143.73,23.42
14,"2018-02-01",2713.83,5.98,41.81,86.26,19.43,12.11,32.2,54.75,176.77,29.14,29.9,97.27,15.06,116.03,91.97,43.55,218.85,26.31,47.33,75.62,22.87,129.96,47.63,147.97,37.91,68.63,21.27,196.33,103.39,143.05,23.17
15,"2018-03-01",2640.87,5.72,39.38,83.96,18.85,10.05,33.09,51.14,158.4,29.53,29.95,94.71,14.79,112.9,87.57,41.95,209.63,24.68,46.62,72.37,17.74,128.84,48.29,145.53,35.59,68.94,20.63,186.39,102.02,132.7,22.65
16,"2018-04-01",2648.05,5.56,38.79,86.03,18.35,10.88,33.23,50.42,170.5,31.25,31.3,94.6,13.82,119.75,87.06,40.33,198.37,24.62,49.71,78.31,19.59,137.95,48.02,150.88,33.51,72.24,19.66,205.9,100.69,135.81,23.36
17,"2018-05-01",2705.27,6.24,44.03,91.32,20.17,13.73,35.52,53.78,190.11,35.16,30.23,93.79,13.66,123.57,85.65,39.17,188.67,23.99,49.74,81.48,18.98,131.83,47.52,153.16,33.37,76.3,19.91,210.35,95.93,140.89,23.15
18,"2018-06-01",2718.37,5.86,43.61,91.11,19.67,14.99,34.49,55.29,192.63,39.14,31.91,98.83,13.57,125.21,83.4,37.03,184.24,23.29,45.7,84.99,22.86,129.92,40.96,160.18,32.07,76.56,19.32,214.45,97.31,144.79,23.38
19,"2018-07-01",2816.29,6.05,44.84,98.01,17.98,18.33,35.19,60.33,171.08,33.74,33.13,107.94,13.79,129.26,92.5,39.73,198.32,25.51,45.66,88.87,19.88,130.62,43.93,162.17,29.59,88.65,20.85,221.33,106.28,154.17,25.73
20,"2018-08-01",2901.52,6.94,53.82,104.19,17.76,25.17,39.27,60.38,174.2,36.77,34.88,106.47,13.78,139.07,92.2,38.37,199.3,25.55,45.54,100.64,20.11,135.35,45.13,165.68,30.61,95.31,20.8,234.65,108.74,157.8,26.98
21,"2018-09-01",2913.98,6.95,53.37,106.08,20.15,30.89,39.13,59.15,163.03,37.41,34.25,111.15,14.49,142.1,90.8,36.6,187.92,24.46,44.07,100.15,17.65,139.57,47.99,170.95,29.21,96.81,19.94,233.32,111.55,163.71,28.64
22,"2018-10-01",2711.74,5.22,51.75,99.07,18.26,18.21,36.21,53.37,150.47,30.18,37.03,109.14,13.5,130.51,88.34,36.13,188.87,22.83,41.46,79.9,22.49,147.59,49.2,145.14,25.68,97.83,18.26,229.21,113.02,152.25,27.98
23,"2018-11-01",2760.17,4.05,42.37,103.29,19.39,21.3,37.05,54.24,139.39,28.61,39.11,109.77,13.74,134.4,90.1,35.12,160.46,23.58,40.28,84.51,23.37,158.25,56.63,149.7,26.4,107.57,19.72,247.55,119.35,165.61,30.27
24,"2018-12-01",2506.85,3.31,37.43,94.61,20.99,18.46,35.61,51.33,129.95,26.77,36.47,105.03,12.56,125.14,79.1,31.37,140.56,20.57,37.34,75.1,22.19,149.06,54.67,142.64,24.83,104.92,19.49,219.18,104.85,154.81,28.59
25,"2019-01-01",2704.1,3.56,39.49,97.28,22.14,24.41,44,55.33,165.24,33.95,36.09,106.82,13.52,128.05,84.55,33.71,166.61,23.77,42.05,85.94,20.47,150.08,57.84,152.36,29.76,108.68,19.89,237.73,108.12,148.8,28.04
26,"2019-02-01",2784.49,3.82,41.26,104.8,22.73,23.53,47.89,55.51,160.04,35.81,37.31,108.08,13.99,140.73,85.25,33.45,166.18,24.4,41.52,81.99,21.33,155.31,59.95,153.7,32.98,115.13,20.7,213.11,111.75,152.33,28.64
27,"2019-03-01",2834.4,4.45,45.26,110.33,25.04,25.52,49.3,58.15,165.24,35.66,38.75,106.35,14.1,148.4,82.7,33.63,162.2,23.15,38.58,89.04,18.66,160.43,63.43,160.49,32.97,118.29,22.47,218.38,114.33,152.25,28.06
28,"2019-04-01",2945.83,4.49,47.82,122.17,26.52,27.63,54.3,58.9,191.72,37.05,37.87,131.2,14.22,156.23,95.53,38.69,173.97,25.66,41.31,96.33,15.91,166.91,66.28,170.37,34.4,106.7,21.05,205.84,115.48,143.71,26.83
29,"2019-05-01",2752.06,3.36,41.88,116.13,20.96,27.41,52.39,54.7,175.93,34.33,35.99,126.48,14.04,153.52,87.22,32.63,154.87,22.32,37.69,88.75,12.34,168.48,65.2,158.78,32.02,106.29,20.27,213.55,107.99,134.74,27.67
30,"2019-06-01",2941.76,4.08,47.34,125.78,24.2,30.37,54.91,53.57,191.32,36.73,37.83,133.76,15.39,165.14,92.03,35.13,173.63,24.46,36.41,94.68,14.9,176.46,71.86,175.16,35.21,101.57,21.92,216.46,114.69,148.95,28.87
31,"2019-07-01",2980.38,4.19,50.96,127.95,24.38,30.45,55.48,60.3,192.54,32.3,36.98,137.83,15.95,169.38,96.16,36.01,186.81,25.88,39.15,93.34,16.11,179.06,81.17,179.97,36.71,99.88,20.58,220.9,107.23,150.81,25.88
32,"2019-08-01",2926.46,4.16,50.12,129.87,23.76,31.45,52.37,58.89,184.05,29.38,38.92,132.29,16.52,172.31,91.07,33.53,174.13,23.21,34.83,88.81,15.04,186.2,83.09,191.95,36.04,104.14,22.58,207.58,106.49,169.82,23.91
33,"2019-09-01",2976.74,4.32,53.78,130.98,23.43,28.99,50.77,60.42,176.53,26.76,40.39,125.6,17.73,163.92,97.56,34.48,176.97,24.77,38.06,86.8,16.06,183.42,76.08,196.61,34.86,103.09,22.4,193.69,107.33,157.52,24.17
34,"2019-10-01",3037.56,4.99,59.73,135.06,24.85,33.93,49.45,62.45,189.98,28.74,40.88,125.22,18.36,170.44,104.39,37.49,182.22,26.55,37.05,88.83,20.99,168.03,72.76,198.77,31.53,105.05,23.93,225.23,109.54,173.59,25.81
35,"2019-11-01",3140.98,5.39,64.36,143.1,26.83,39.15,56.61,64.68,199.88,31.47,40.73,146.09,17.83,176.12,110.1,40.29,190.09,28.29,45.22,90.04,22,167.2,73.88,186.85,31.89,108.8,24.33,249.44,114.85,192.34,26.16
36,"2019-12-01",3230.78,5.85,70.72,149.07,27.09,45.86,56.46,66.27,203.46,32.36,41.51,140.23,18.64,179.36,116.49,41.62,197.46,30.07,43.45,92.39,27.89,169.89,76.03,186.23,32.42,121.86,25.08,263.03,121.85,197.54,26.61
